fdf,fdfdf
"catering was 30% beef and 70% chicken - Beef was a popular choice , so we run out quickly .",Catering-Food
"Beef was popular on this sector but only 30 % was loaded -  Some customers did not like the idea of having the chicken but still they had no other choice , some we managed to get them beef from JC .",Catering-Food
" Choice unavailable -Loading of hot meal choices was 50%-50% (chicken with scrambled eggs -noodles)-The noodles choice was more popular so ,middle of the service, only scrambled eggs was left",Catering-Food
" CHOICE UNAVAILABLE- During the lunch service, a high number of customers wanted the "" Paneer tikka masala"" main course but the choice was unavailable.- Only 8 Paneer tikka masala were loaded on this sector.",Catering-Food
" Claimed Stuffed Aubergines (Cabbage Dolmas) Not Cooked Well -During service, Mr Altaki claimed that it was not cooked very well and it was a little hard when chewed.-Galley operator was using Temperature Sticks to check meals during heating. And as per checking, meals were ready for serving.-No other complains received.",Catering-Food
" COMPLAINT ABOUT QUALITY OF FOOD- During the diner service, Ms. Husain informed us that the "" Baba ghanouj"" on her meal tray was off.- Ms. Hussein claimed that it smelled and tasted bad.",Catering-Food
" Customer Did Not Like Her AVML- During meal application, Mrs. Kapoor stated that she did not like her meal as she thought that it was too oily and all meal contents look greasy.",Catering-Food
" Customer not satisfied with food quality - Mr Bushiri ordered the salmon for main course.- Shortly after he was served the salmon, Mr Bushiri stated that it was very dry and he does not like it.",Catering-Food
 customers claimed that the food was reflecting the Moroccan hospitality and cuisines ,Catering-Food
" Feedback on the Coconut Braised Beef choice - Beef was popular on this sector, after delivering main course 2 customers gave negative feedback about the coconut braised beef.- Customer in 7J and 9K informed me during meal appreciation that the beef is not eatable and its chewy / Hard.",Catering-Food
 Happy birthday cake - happy birthday cake has been loaded for Mr Miroslav.,Catering-Food-Presentation
" Light bites lamb pie feedback. During light bites customer asked for the Lamb pie.. When meal was delivered, customer stated "" it does not look good, take it away""",Catering-Food-Feedback
 Miss Charlotte claimed that she  requested the VLML for her flight and did not get it ,Catering-Food
 Miss Oleary requested a VLML as her meal choice ,Catering-Food
This is in regards to the breakfast choice ginger bread French toast served with raspberry compote and lemon curd butter. No lemon butter was loaded to serve aside.- Just to qualify if the lemon butter is inside the French toast or if it was not loaded.thank you,Catering-Food
" Request for AVML- customer would like to request for the AVML for their return flight, as well as, the Emirates future flights- customer also claimed they have pre- ordered the VOML meal while booking, also it was present on their ticket, however no records of,  it has been found in our system   Contact details: ANDYLAW77@TALK21.COM",Catering-Food-SPML Request/cancel
" Sandwiches quantity not enough -Sandwiches and cookies for the Light Bites service were loaded 70% out of the total number of customers.-More than 50 customers were left without a choice, most of them complaining about the situation.",Catering-Food
 Shortage in meals and choices and bread.- Loads were 16 customer and we had 16 trays but 15 hot meals loaded including of the specials.- 15 pieces loaded of bread Rolls and we had to take 1 from the special bread.- it would be more practical to have few more extra main courses loaded to make sure business class customers get their choices.,Catering-Food
 Shortage of beef choice :- We were catered 70% chicken and 30% beef for the flight from DUS - DXB .:- We were short of at least 20beef meals .,Catering-Food
 Shortage of dahi and cucumber raita :- We have given one big bowl of Dahi and raita each for 42 customers.:- With that big bowl we able to serve only 8 customers. After diving them in small bowl.:- Suggestion to load more of Dahi and raita .,Catering-Food
 Shortage of Lamb choice :- We were catered 70 % chicken and 30 % lamb.:- We were short of atleast 30 lamb meal.,Catering-Food
 Shortage of Mixed grill :- We were catered 6 mix grill .:- One mixed grill we have to give it to first class cabin .:- by doing that we were short of one mixed grill in business class .,Catering-Food
